<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;60;01/10/24;150000;902;902.4;892.6;901.1;15174
MDMG;60;01/10/24;160000;898.1;900.2;895.5;897.8;3887
MDMG;60;01/10/24;170000;897.8;899;891.3;893.4;11804
MDMG;60;01/10/24;180000;892.4;893.9;880.5;888;18314
MDMG;60;01/10/24;190000;888;888;880.3;885.5;7992
MDMG;60;02/10/24;110000;890.3;909.3;890.2;907.5;29053
MDMG;60;02/10/24;120000;908;908.1;901.2;906.1;18681
MDMG;60;02/10/24;130000;906.5;906.6;902;902;10557
MDMG;60;02/10/24;140000;902;903.7;902;903.7;5493
MDMG;60;02/10/24;150000;903.4;907;900;906.2;9712
MDMG;60;02/10/24;160000;906.2;906.2;900.7;905;16122
MDMG;60;02/10/24;170000;905;905.3;900.7;903.9;9152
MDMG;60;02/10/24;180000;903.9;904.7;895;898.6;14571
MDMG;60;02/10/24;190000;897.5;898.4;883.4;883.4;23947
MDMG;60;03/10/24;110000;882.6;891.9;871.7;878.8;17016
MDMG;60;03/10/24;120000;878.4;879.9;871.9;872.1;10646
MDMG;60;03/10/24;130000;872.1;877.1;863.5;873.3;10156
MDMG;60;03/10/24;140000;873.3;874.7;865;869.4;7443
MDMG;60;03/10/24;150000;869.5;869.9;865;868.4;7535
MDMG;60;03/10/24;160000;868.4;874;852.8;864.8;26007
MDMG;60;03/10/24;170000;864.7;869.5;860.2;869.5;10521
MDMG;60;03/10/24;180000;869.1;872.6;867;872.5;6429
MDMG;60;03/10/24;190000;872.4;872.5;870;870;5174
MDMG;60;04/10/24;110000;878.4;886.5;874.2;883.9;14643
MDMG;60;04/10/24;120000;884;884.7;877.3;879.3;8595
MDMG;60;04/10/24;130000;879.2;884;870.7;870.7;11001
MDMG;60;04/10/24;140000;870.9;881.2;870.3;874;15773
MDMG;60;04/10/24;150000;874;876.7;873;876.1;3911
MDMG;60;04/10/24;160000;876.1;876.1;869;870.2;4001
MDMG;60;04/10/24;170000;870.2;871.8;866;870.4;4139
MDMG;60;04/10/24;180000;871.4;872;870.5;872;1612
MDMG;60;04/10/24;190000;872;876.3;871.6;874.9;4430
